PRODUCT,WEEKNO,MONTHNO,REGION,ORDERQTY
4,33,8,2,14
4,34,8,2,21
4,35,8,2,38
4,36,9,2,40
4,37,9,2,22
4,38,9,2,36
4,39,9,2,45
4,40,10,2,67
4,41,10,2,22
4,42,10,2,5
4,43,10,2,160
4,44,11,2,56
4,45,11,2,32
4,46,11,2,14
4,47,11,2,21
4,48,11,2,15
4,49,12,2,27
4,50,12,2,30
4,51,12,2,25
4,52,12,2,42
4,53,13,2,29
4,54,13,2,15
4,92,22,2,12
4,93,22,2,25
4,94,22,2,23
4,95,22,2,18
4,96,23,2,15
4,97,23,2,15
4,98,23,2,34
4,99,23,2,46
4,100,23,2,30
4,101,24,2,14
4,102,24,2,28
4,103,24,2,13
4,104,24,2,39
4,105,25,2,18
4,1,1,3,486
4,2,1,3,529
4,3,1,3,75
4,4,2,3,649
4,5,2,3,414
4,6,2,3,70
4,7,2,3,79
4,8,2,3,622
4,9,2,3,172
4,10,3,3,81
4,11,3,3,110
4,12,3,3,99
4,13,3,3,60
4,14,4,3,82
4,15,4,3,194
4,16,4,3,334
4,17,4,3,640
4,18,5,3,48
4,19,5,3,198
4,20,5,3,691
4,21,5,3,60
4,22,5,3,111
4,23,6,3,187
4,24,6,3,343
4,25,6,3,374
4,26,6,3,263
4,27,7,3,385
4,28,7,3,357
4,29,7,3,233
4,30,7,3,231
4,31,8,3,400
4,32,8,3,287
4,33,8,3,321
4,34,8,3,389
4,35,8,3,229
4,36,9,3,292
4,37,9,3,375
4,38,9,3,344
4,39,9,3,493
4,40,10,3,283
4,41,10,3,197
4,42,10,3,197
4,43,10,3,427
4,44,11,3,191
4,45,11,3,189
4,46,11,3,225
4,47,11,3,306
4,48,11,3,290
4,49,12,3,66
4,50,12,3,314
4,51,12,3,360
4,52,12,3,204
4,53,13,3,195
4,54,13,3,12
4,92,22,3,93
4,93,22,3,92
4,94,22,3,110
4,95,22,3,144
4,96,23,3,153
4,97,23,3,106
4,98,23,3,122
4,99,23,3,113
4,100,23,3,116
4,101,24,3,120
4,102,24,3,181
4,103,24,3,242
4,104,24,3,140
4,105,25,3,180
4,1,1,4,78
4,2,1,4,96
4,3,1,4,171
4,4,2,4,1
4,5,2,4,63
4,6,2,4,130
4,7,2,4,92
4,8,2,4,133
4,9,2,4,17
4,10,3,4,106
4,11,3,4,45
4,12,3,4,106
4,13,3,4,68
4,14,4,4,217
4,15,4,4,185
4,16,4,4,164
4,17,4,4,137
4,18,5,4,111
4,19,5,4,91
4,20,5,4,97
4,21,5,4,72
4,22,5,4,258
4,23,6,4,49
4,24,6,4,84
4,25,6,4,45
4,26,6,4,107
4,27,7,4,88
4,28,7,4,189
4,29,7,4,39
4,30,7,4,146
4,31,8,4,37
4,32,8,4,217
4,33,8,4,215
4,34,8,4,22
4,35,8,4,214
4,36,9,4,83
4,37,9,4,118
4,38,9,4,62
4,39,9,4,68
4,40,10,4,190
4,41,10,4,65
4,42,10,4,127
4,43,10,4,81
4,44,11,4,77
4,45,11,4,33
4,46,11,4,154
4,47,11,4,78
4,48,11,4,69
4,49,12,4,145
4,50,12,4,184
4,51,12,4,32
4,52,12,4,126
4,53,13,4,69
4,54,13,4,16
4,92,22,4,55
4,93,22,4,72
4,94,22,4,53
4,95,22,4,55
4,96,23,4,356
4,97,23,4,58
4,98,23,4,63
4,99,23,4,57
4,100,23,4,35
4,101,24,4,73
4,102,24,4,36
4,103,24,4,34
4,104,24,4,53
4,105,25,4,64
5,70,17,1,100
5,71,17,1,50
5,80,19,1,2
5,81,19,1,2
5,72,17,2,151
5,74,17,2,121
5,77,18,2,71
5,78,18,2,1
5,80,19,2,80
5,81,19,2,1
5,70,17,3,93
5,71,17,3,342
5,72,17,3,10
5,73,17,3,75
5,74,17,3,3
5,80,19,3,154
5,81,19,3,3
5,82,19,3,39
5,70,17,4,7
5,71,17,4,28
5,72,17,4,1
5,73,17,4,5
5,74,17,4,8
5,75,18,4,6
5,80,19,4,512
5,81,19,4,10
5,82,19,4,63
6,1,1,1,37
6,2,1,1,353
6,3,1,1,5
6,6,2,1,446
6,7,2,1,347
6,8,2,1,34
6,9,2,1,6
6,10,3,1,41
6,11,3,1,41
6,12,3,1,33
6,13,3,1,85
6,14,4,1,321
6,15,4,1,24
6,16,4,1,24
6,17,4,1,30
6,18,5,1,11
6,19,5,1,37
6,20,5,1,35
6,21,5,1,22
6,22,5,1,47
6,23,6,1,24
6,24,6,1,50
6,25,6,1,19
6,26,6,1,13
6,27,7,1,28
6,28,7,1,40
6,29,7,1,25
6,30,7,1,27
6,31,8,1,14
6,32,8,1,38
6,33,8,1,12
6,34,8,1,81
6,35,8,1,20
6,36,9,1,30
6,37,9,1,22
6,38,9,1,19
6,39,9,1,47
6,40,10,1,27
6,41,10,1,39
6,42,10,1,22
6,43,10,1,41
6,44,11,1,36
6,45,11,1,9
6,46,11,1,43
6,47,11,1,13
6,48,11,1,113
6,49,12,1,41
6,50,12,1,17
6,51,12,1,61
6,52,12,1,518
6,53,13,1,9
6,54,13,1,160
6,55,13,1,27
6,56,13,1,146
6,1,1,2,45
6,2,1,2,6
6,3,1,2,59
6,4,2,2,12
6,5,2,2,7
6,6,2,2,96
6,7,2,2,43
6,8,2,2,40
6,9,2,2,3
6,10,3,2,54
6,11,3,2,53
6,12,3,2,22
6,13,3,2,72
6,14,4,2,70
6,15,4,2,111
6,16,4,2,64
6,17,4,2,121
6,18,5,2,42
6,19,5,2,47
6,20,5,2,80
6,21,5,2,25
6,22,5,2,30
6,23,6,2,20
6,24,6,2,12
6,25,6,2,117
6,26,6,2,31
6,27,7,2,64
6,28,7,2,143
6,29,7,2,120
6,30,7,2,50
6,31,8,2,133
6,32,8,2,34
6,33,8,2,21
6,34,8,2,29
6,35,8,2,43
6,36,9,2,17
6,37,9,2,40
6,38,9,2,39
6,39,9,2,45
6,40,10,2,69
6,41,10,2,26
6,42,10,2,67
6,43,10,2,14
6,44,11,2,23
6,45,11,2,18
6,46,11,2,19
6,47,11,2,145
6,48,11,2,71
6,49,12,2,23
6,50,12,2,29
6,51,12,2,36
6,52,12,2,76
6,53,13,2,22
6,54,13,2,47
6,55,13,2,38
6,56,13,2,56
6,1,1,3,357
6,2,1,3,75
6,3,1,3,19
6,5,2,3,31
6,6,2,3,180
6,7,2,3,551
6,8,2,3,525
6,9,2,3,13
6,10,3,3,19
6,11,3,3,561
6,12,3,3,74
6,13,3,3,299
6,14,4,3,51
6,15,4,3,50
6,16,4,3,18
6,17,4,3,159
6,18,5,3,85
6,19,5,3,45
6,20,5,3,51
6,21,5,3,50
6,22,5,3,34
6,23,6,3,182
6,24,6,3,57
6,25,6,3,79
6,26,6,3,183
6,27,7,3,100
6,28,7,3,264
6,29,7,3,193
6,30,7,3,110
6,31,8,3,77
6,32,8,3,72
6,33,8,3,109
6,34,8,3,141
6,35,8,3,80
6,36,9,3,35
6,37,9,3,210
6,38,9,3,108
6,39,9,3,76
6,40,10,3,88
6,41,10,3,142
6,42,10,3,173
6,43,10,3,79
6,44,11,3,153
6,45,11,3,190
6,46,11,3,38
6,47,11,3,113
6,48,11,3,66
6,49,12,3,130
6,50,12,3,65
6,51,12,3,77
6,52,12,3,119
6,53,13,3,75
6,54,13,3,110
6,55,13,3,92
6,56,13,3,147
6,1,1,4,85
6,2,1,4,7
6,3,1,4,15
6,4,2,4,1
6,6,2,4,151
6,7,2,4,225
6,8,2,4,24
6,9,2,4,42
6,10,3,4,47
6,11,3,4,108
6,12,3,4,74
6,13,3,4,29
6,14,4,4,141
6,15,4,4,33
6,16,4,4,31
6,17,4,4,75
6,18,5,4,103
6,19,5,4,39
6,20,5,4,64
6,21,5,4,49
6,22,5,4,24
6,23,6,4,34
6,24,6,4,387
6,25,6,4,52
6,26,6,4,49
6,27,7,4,18
6,28,7,4,304
6,29,7,4,40
6,30,7,4,71
6,31,8,4,326
6,32,8,4,69
6,33,8,4,60
6,34,8,4,57
6,35,8,4,20
6,36,9,4,27
6,37,9,4,148
6,38,9,4,31
6,39,9,4,80
6,40,10,4,104
6,41,10,4,55
6,42,10,4,239
6,43,10,4,51
6,44,11,4,148
6,45,11,4,305
6,46,11,4,70
6,47,11,4,42
6,48,11,4,144
6,49,12,4,27
6,50,12,4,88
6,51,12,4,187
6,52,12,4,48
6,53,13,4,66
6,54,13,4,162
6,55,13,4,228
6,56,13,4,22
7,1,1,1,1
7,3,1,1,26
7,4,2,1,6
7,5,2,1,8
7,6,2,1,3
7,9,2,1,9
7,10,3,1,7
7,11,3,1,13
7,12,3,1,19
7,13,3,1,35
7,14,4,1,41
7,15,4,1,21
7,16,4,1,5
7,17,4,1,43
7,18,5,1,31
7,19,5,1,11
7,20,5,1,53
7,21,5,1,34
7,22,5,1,7
7,23,6,1,24
7,24,6,1,24
7,25,6,1,6
7,26,6,1,1
7,27,7,1,1
7,28,7,1,40
7,29,7,1,29
7,30,7,1,15
7,31,8,1,3
7,32,8,1,2
7,33,8,1,19
7,34,8,1,38
7,35,8,1,4
7,36,9,1,5
7,38,9,1,25
7,39,9,1,86
7,40,10,1,49
7,41,10,1,51
7,42,10,1,42
7,43,10,1,39
7,44,11,1,35
7,45,11,1,41
7,46,11,1,86
7,47,11,1,148
7,48,11,1,50
7,49,12,1,61
7,50,12,1,11
7,51,12,1,72
7,52,12,1,3
7,53,13,1,35
7,54,13,1,110
7,55,13,1,58
7,56,13,1,133
7,57,14,1,10
7,58,14,1,8
7,59,14,1,8
7,60,14,1,3
7,61,14,1,6
7,75,18,1,2
7,76,18,1,17
7,77,18,1,22
7,78,18,1,14
7,79,19,1,16
7,80,19,1,6
7,81,19,1,47
7,82,19,1,20
7,83,20,1,18
7,84,20,1,21
7,85,20,1,15
7,86,20,1,80
7,87,20,1,25
7,88,21,1,9
7,89,21,1,17
7,90,21,1,8
7,91,21,1,34
7,92,22,1,6
7,93,22,1,28
7,94,22,1,8
7,95,22,1,32
7,96,23,1,17
7,97,23,1,2
7,98,23,1,2
7,99,23,1,10
7,100,23,1,8
7,101,24,1,5
7,102,24,1,18
7,103,24,1,4
7,104,24,1,6
7,105,25,1,11
7,1,1,2,1
7,2,1,2,30
7,3,1,2,51
7,4,2,2,55
7,5,2,2,20
7,6,2,2,7
7,9,2,2,11
7,10,3,2,10
7,11,3,2,14
7,12,3,2,4
7,13,3,2,42
7,14,4,2,8
7,15,4,2,9
7,16,4,2,77
7,17,4,2,4
7,18,5,2,13
7,19,5,2,6
7,20,5,2,24
7,21,5,2,13
7,22,5,2,22
7,23,6,2,20
7,24,6,2,14
7,25,6,2,25
7,26,6,2,2
7,27,7,2,1
7,28,7,2,63
7,29,7,2,246
7,30,7,2,3
7,31,8,2,26
7,32,8,2,20
7,33,8,2,17
7,34,8,2,39
7,37,9,2,2
7,39,9,2,78
7,40,10,2,19
7,41,10,2,49
7,42,10,2,10
7,43,10,2,26
7,44,11,2,12
7,45,11,2,14
7,46,11,2,52
7,47,11,2,30
7,48,11,2,54
7,49,12,2,2
7,50,12,2,1
7,51,12,2,1
7,53,13,2,93
7,54,13,2,6
7,55,13,2,6
7,61,14,2,1
7,75,18,2,1
7,76,18,2,1
7,77,18,2,3
7,78,18,2,4
7,79,19,2,3
7,80,19,2,5
7,81,19,2,46
7,82,19,2,9
7,83,20,2,5
7,84,20,2,9
7,85,20,2,8
7,86,20,2,7
7,87,20,2,64
7,88,21,2,10
7,89,21,2,12
7,90,21,2,27
7,91,21,2,6
7,92,22,2,2
7,93,22,2,18
7,94,22,2,4
7,95,22,2,78
7,96,23,2,3
7,97,23,2,9
7,98,23,2,5
7,99,23,2,5
7,100,23,2,3
7,101,24,2,8
7,102,24,2,10
7,103,24,2,7
7,104,24,2,5
7,105,25,2,3
7,2,1,3,3
7,3,1,3,225
7,4,2,3,98
7,5,2,3,64
7,6,2,3,18
7,7,2,3,1
7,9,2,3,22
7,10,3,3,30
7,11,3,3,42
7,12,3,3,33
7,13,3,3,15
7,14,4,3,87
7,15,4,3,15
7,16,4,3,8
7,17,4,3,58
7,18,5,3,69
7,19,5,3,23
7,20,5,3,47
7,21,5,3,36
7,22,5,3,68
7,23,6,3,84
7,24,6,3,109
7,25,6,3,72
7,26,6,3,51
7,27,7,3,34
7,28,7,3,38
7,29,7,3,45
7,30,7,3,46
7,31,8,3,15
7,32,8,3,4
7,33,8,3,55
7,34,8,3,57
7,35,8,3,55
7,37,9,3,1
7,38,9,3,4
7,39,9,3,153
7,40,10,3,99
7,41,10,3,93
7,42,10,3,75
7,43,10,3,214
7,44,11,3,181
7,45,11,3,142
7,46,11,3,189
7,47,11,3,156
7,48,11,3,67
7,49,12,3,84
7,50,12,3,14
7,51,12,3,7
7,52,12,3,2
7,53,13,3,39
7,54,13,3,1
7,55,13,3,1
7,56,13,3,126
7,57,14,3,4
7,61,14,3,11
7,75,18,3,120
7,76,18,3,12
7,77,18,3,20
7,78,18,3,98
7,79,19,3,14
7,80,19,3,77
7,81,19,3,152
7,82,19,3,10
7,83,20,3,11
7,84,20,3,19
7,85,20,3,64
7,86,20,3,39
7,87,20,3,31
7,88,21,3,23
7,89,21,3,40
7,90,21,3,58
7,91,21,3,82
7,92,22,3,75
7,93,22,3,51
7,94,22,3,70
7,95,22,3,38
7,96,23,3,6
7,97,23,3,62
7,98,23,3,53
7,99,23,3,40
7,100,23,3,21
7,101,24,3,21
7,102,24,3,36
7,103,24,3,18
7,104,24,3,78
7,105,25,3,24
7,1,1,4,13
7,2,1,4,99
7,3,1,4,67
7,4,2,4,245
7,5,2,4,20
7,6,2,4,20
7,7,2,4,75
7,9,2,4,22
7,10,3,4,25
7,11,3,4,44
7,12,3,4,8
7,13,3,4,73
7,14,4,4,7
7,15,4,4,87
7,16,4,4,28
7,17,4,4,20
7,18,5,4,31
7,19,5,4,24
7,20,5,4,164
7,21,5,4,300
7,22,5,4,115
7,23,6,4,39
7,24,6,4,20
7,25,6,4,27
7,26,6,4,7
7,27,7,4,19
7,28,7,4,125
7,29,7,4,124
7,30,7,4,89
7,31,8,4,36
7,33,8,4,128
7,34,8,4,66
7,35,8,4,1
7,37,9,4,3
7,38,9,4,10
7,39,9,4,204
7,40,10,4,128
7,41,10,4,161
7,42,10,4,40
7,43,10,4,143
7,44,11,4,195
7,45,11,4,96
7,46,11,4,52
7,47,11,4,72
7,48,11,4,17
7,49,12,4,52
7,50,12,4,15
7,51,12,4,49
7,52,12,4,3
7,53,13,4,162
7,54,13,4,6
7,56,13,4,4
7,58,14,4,1
7,59,14,4,1
7,60,14,4,2
7,61,14,4,1
7,75,18,4,9
7,76,18,4,15
7,77,18,4,43
7,78,18,4,42
7,79,19,4,26
7,80,19,4,24
7,81,19,4,59
7,82,19,4,25
7,83,20,4,16
7,84,20,4,18
7,85,20,4,28
7,86,20,4,107
7,87,20,4,47
7,88,21,4,32
7,89,21,4,39
7,90,21,4,18
7,91,21,4,70
7,92,22,4,10
7,93,22,4,32
7,94,22,4,12
7,95,22,4,53
7,96,23,4,107
7,97,23,4,9
7,98,23,4,6
7,99,23,4,73
7,100,23,4,7
7,101,24,4,35
7,102,24,4,12
7,103,24,4,23
7,104,24,4,16
7,105,25,4,40
8,1,1,1,17
8,2,1,1,277
8,3,1,1,38
8,4,2,1,53
8,5,2,1,159
8,6,2,1,13
8,7,2,1,46
8,8,2,1,45
8,9,2,1,32
8,10,3,1,30
8,11,3,1,16
8,12,3,1,33
8,13,3,1,39
8,14,4,1,20
8,15,4,1,84
8,16,4,1,16
8,17,4,1,55
8,18,5,1,41
8,19,5,1,226
8,20,5,1,48
8,21,5,1,24
8,22,5,1,15
8,23,6,1,10
8,24,6,1,1
8,25,6,1,6
8,26,6,1,6
8,27,7,1,164
8,28,7,1,65
8,29,7,1,71
8,30,7,1,91
8,31,8,1,1
8,32,8,1,107
8,33,8,1,19
8,34,8,1,29
8,35,8,1,9
8,38,9,1,4
8,39,9,1,45
8,40,10,1,66
8,41,10,1,1
8,42,10,1,10
8,43,10,1,85
8,44,11,1,40
8,45,11,1,3
8,46,11,1,4
8,47,11,1,82
8,48,11,1,194
8,49,12,1,26
8,50,12,1,3
8,51,12,1,13
8,52,12,1,1
8,53,13,1,65
8,54,13,1,4
8,55,13,1,43
8,58,14,1,4
8,59,14,1,52
8,60,14,1,13
8,61,14,1,66
8,62,15,1,4
8,63,15,1,30
8,64,15,1,16
8,65,15,1,6
8,66,16,1,12
8,67,16,1,120
8,68,16,1,31
8,70,17,1,1
8,71,17,1,27
8,75,18,1,121
8,76,18,1,26
8,77,18,1,7
8,79,19,1,47
8,81,19,1,45
8,82,19,1,52
8,83,20,1,15
8,84,20,1,17
8,85,20,1,26
8,86,20,1,27
8,87,20,1,1
8,88,21,1,8
8,89,21,1,19
8,90,21,1,11
8,91,21,1,14
8,92,22,1,7
8,93,22,1,22
8,94,22,1,21
8,95,22,1,9
8,96,23,1,11
8,97,23,1,37
8,98,23,1,12
8,99,23,1,17
8,100,23,1,27
8,101,24,1,25
8,102,24,1,13
8,103,24,1,10
8,104,24,1,10
8,105,25,1,5
8,1,1,2,35
8,2,1,2,108
8,3,1,2,20
8,4,2,2,19
8,5,2,2,4
8,6,2,2,6
8,7,2,2,56
8,8,2,2,10
8,9,2,2,8
8,10,3,2,12
8,11,3,2,35
8,12,3,2,30
8,13,3,2,33
8,14,4,2,18
8,15,4,2,54
8,16,4,2,5
8,17,4,2,38
8,18,5,2,43
8,19,5,2,10
8,20,5,2,47
8,21,5,2,31
8,22,5,2,6
8,23,6,2,2
8,24,6,2,3
8,25,6,2,16
8,26,6,2,32
8,27,7,2,63
8,28,7,2,60
8,29,7,2,24
8,30,7,2,50
8,31,8,2,1
8,32,8,2,30
8,33,8,2,58
8,34,8,2,58
8,35,8,2,3
8,36,9,2,3
8,37,9,2,3
8,38,9,2,1
8,39,9,2,15
8,43,10,2,132
8,44,11,2,12
8,47,11,2,15
8,48,11,2,44
8,49,12,2,39
8,51,12,2,11
8,52,12,2,6
8,53,13,2,25
8,54,13,2,4
8,55,13,2,23
8,57,14,2,2
8,58,14,2,1
8,60,14,2,1
8,61,14,2,3
8,62,15,2,4
8,63,15,2,8
8,66,16,2,39
8,67,16,2,12
8,68,16,2,6
8,72,17,2,1
8,74,17,2,14
8,75,18,2,188
8,76,18,2,43
8,78,18,2,5
8,81,19,2,2
8,82,19,2,23
8,83,20,2,14
8,84,20,2,85
8,85,20,2,19
8,86,20,2,11
8,87,20,2,7
8,88,21,2,18
8,89,21,2,16
8,90,21,2,18
8,91,21,2,18
8,92,22,2,21
8,93,22,2,21
8,94,22,2,11
8,95,22,2,6
8,96,23,2,6
8,97,23,2,21
8,98,23,2,15
8,99,23,2,11
8,100,23,2,10
8,101,24,2,8
8,102,24,2,13
8,103,24,2,55
8,104,24,2,10
8,105,25,2,7
8,1,1,3,178
8,2,1,3,103
8,3,1,3,40
8,4,2,3,10
8,5,2,3,14
8,6,2,3,12
8,7,2,3,47
8,8,2,3,232
8,9,2,3,93
8,10,3,3,79
8,11,3,3,92
8,12,3,3,62
8,13,3,3,104
8,14,4,3,130
8,15,4,3,102
8,16,4,3,88
8,17,4,3,229
8,18,5,3,43
8,19,5,3,47
8,20,5,3,64
8,21,5,3,91
8,22,5,3,27
8,23,6,3,46
8,24,6,3,32
8,25,6,3,112
8,26,6,3,59
8,27,7,3,204
8,28,7,3,134
8,29,7,3,104
8,30,7,3,98
8,31,8,3,47
8,32,8,3,105
8,33,8,3,155
8,34,8,3,180
8,35,8,3,23
8,36,9,3,90
8,37,9,3,58
8,38,9,3,15
8,39,9,3,1
8,40,10,3,83
8,41,10,3,17
8,43,10,3,767
8,44,11,3,280
8,45,11,3,24
8,47,11,3,14
8,48,11,3,316
8,49,12,3,81
8,50,12,3,63
8,51,12,3,11
8,52,12,3,10
8,53,13,3,23
8,54,13,3,11
8,55,13,3,174
8,56,13,3,2
8,59,14,3,1
8,60,14,3,2
8,61,14,3,129
8,62,15,3,27
8,63,15,3,202
8,64,15,3,125
8,65,15,3,10
8,66,16,3,41
8,67,16,3,131
8,68,16,3,3
8,70,17,3,440
8,72,17,3,442
8,73,17,3,221
8,74,17,3,14
8,75,18,3,630
8,76,18,3,10
8,77,18,3,3
8,78,18,3,9
8,79,19,3,18
8,80,19,3,25
8,81,19,3,107
8,82,19,3,229
8,83,20,3,81
8,84,20,3,36
8,85,20,3,78
8,86,20,3,64
8,87,20,3,41
8,88,21,3,14
8,89,21,3,31
8,90,21,3,39
8,91,21,3,61
8,92,22,3,55
8,93,22,3,65
8,94,22,3,218
8,95,22,3,66
8,96,23,3,74
8,97,23,3,39
8,98,23,3,102
8,99,23,3,46
8,100,23,3,83
8,101,24,3,79
8,102,24,3,65
8,103,24,3,37
8,104,24,3,159
8,105,25,3,193
8,1,1,4,52
8,2,1,4,88
8,3,1,4,69
8,4,2,4,335
8,5,2,4,29
8,6,2,4,13
8,7,2,4,189
8,8,2,4,46
8,9,2,4,16
8,10,3,4,31
8,11,3,4,45
8,12,3,4,44
8,13,3,4,84
8,14,4,4,29
8,15,4,4,37
8,16,4,4,88
8,17,4,4,81
8,18,5,4,62
8,19,5,4,19
8,20,5,4,48
8,21,5,4,139
8,22,5,4,10
8,23,6,4,1
8,24,6,4,23
8,25,6,4,38
8,26,6,4,57
8,27,7,4,224
8,28,7,4,315
8,29,7,4,100
8,30,7,4,2287
8,31,8,4,16
8,32,8,4,79
8,33,8,4,43
8,34,8,4,150
8,35,8,4,64
8,36,9,4,18
8,37,9,4,23
8,38,9,4,2
8,39,9,4,5
8,40,10,4,19
8,41,10,4,3
8,42,10,4,4
8,43,10,4,258
8,44,11,4,1556
8,45,11,4,1
8,46,11,4,1
8,47,11,4,25
8,48,11,4,2219
8,49,12,4,80
8,50,12,4,640
8,51,12,4,18
8,52,12,4,810
8,53,13,4,170
8,54,13,4,36
8,55,13,4,11387
8,56,13,4,6
8,57,14,4,6004
8,58,14,4,10
8,59,14,4,11919
8,60,14,4,13
8,61,14,4,562
8,62,15,4,96
8,63,15,4,5932
8,64,15,4,11
8,65,15,4,102
8,66,16,4,87
8,67,16,4,62
8,68,16,4,12
8,69,16,4,12
8,70,17,4,6
8,71,17,4,5
8,72,17,4,30
8,73,17,4,31
8,74,17,4,16
8,75,18,4,493
8,76,18,4,29
8,77,18,4,3618
8,78,18,4,983
8,79,19,4,882
8,80,19,4,29
8,81,19,4,870
8,82,19,4,455
8,83,20,4,13
8,84,20,4,123
8,85,20,4,598
8,86,20,4,1685
8,87,20,4,149
8,88,21,4,28
8,89,21,4,84
8,90,21,4,16
8,91,21,4,29
8,92,22,4,16
8,93,22,4,20
8,94,22,4,31
8,95,22,4,19
8,96,23,4,25
8,97,23,4,30
8,98,23,4,34
8,99,23,4,40
8,100,23,4,22
8,101,24,4,24
8,102,24,4,46
8,103,24,4,25
8,104,24,4,24
8,105,25,4,16
9,1,1,1,11
9,2,1,1,6
9,3,1,1,67
9,4,2,1,10
9,5,2,1,13
9,6,2,1,31
9,7,2,1,9
9,8,2,1,1
9,11,3,1,11
9,12,3,1,39
9,13,3,1,22
9,14,4,1,12
